Es,Sx,Sxx,Sy,Syy,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.0016143436509134127+0j),[7.25320446e-16],[1.],[0.08029218],[1.],"(array([0.00905744]), array([1.67225434e-16]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.00452872]), array([-0.00784397]))"
(0.007088675353428453+0j),[4.38567882e-16],[1.],[0.16777122],[1.],"(array([0.02798649]), array([5.0771817e-17]))","(array([4.63743875e-35]), array([-5.42450604e-35]))","(array([8.04068602e-29]), array([-5.36045735e-29]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.00452872]), array([-0.00784397]))","(array([0.01399324]), array([-0.02423701]))"
(0.017361299349758937+0j),[-7.33959311e-15],[1.],[0.2611102],[1.],"(array([0.04839276]), array([-1.76697378e-15]))","(array([-2.97606514e-23]), array([-2.86074384e-23]))","(array([-7.37643701e-24]), array([1.87034424e-22]))","(array([4.6665371e-23]), array([9.34266905e-23]))","(array([-6.59524072e-23]), array([3.68807053e-22]))","(array([1.16243006e-23]), array([3.74178686e-22]))","(array([9.19769444e-23]), array([4.94617392e-23]))","(array([-2.72445549e-24]), array([5.9840773e-24]))","(array([0.00452872]), array([-0.00784397]))","(array([0.01399324]), array([-0.02423701]))","(array([0.02419638]), array([-0.04190936]))"
(0.033103055609846645+0j),[-9.71907434e-15],[1.],[0.35739751],[1.],"(array([0.06979738]), array([-2.11723806e-15]))","(array([-1.94811627e-23]), array([2.14914927e-22]))","(array([3.67875309e-23]), array([1.53847117e-22]))","(array([-3.28873931e-22]), array([2.91399674e-22]))","(array([1.2890551e-23]), array([3.17013817e-22]))","(array([9.48292588e-23]), array([1.39477398e-22]))","(array([4.54711655e-24]), array([7.83905046e-23]))","(array([0.00452872]), array([-0.00784397]))","(array([0.01399324]), array([-0.02423701]))","(array([0.02419638]), array([-0.04190936]))","(array([0.03489869]), array([-0.0604463]))"
(0.05451253704688981+0j),[-1.09296574e-14],[1.],[0.45294815],[1.],"(array([0.09145369]), array([-2.15990149e-15]))","(array([2.07788129e-21]), array([-4.43069907e-21]))","(array([1.7383673e-20]), array([-1.2822021e-21]))","(array([-4.20702682e-21]), array([-2.61383662e-21]))","(array([4.13607623e-22]), array([1.70472232e-21]))","(array([-4.32958553e-22]), array([2.28740231e-21]))","(array([0.00452872]), array([-0.00784397]))","(array([0.01399324]), array([-0.02423701]))","(array([0.02419638]), array([-0.04190936]))","(array([0.03489869]), array([-0.0604463]))","(array([0.04572685]), array([-0.07920122]))"
(0.0812609563420373+0j),[2.18712922e-15],[1.],[0.54401484],[1.],"(array([0.11251993]), array([1.09727316e-15]))","(array([1.06765842e-20]), array([7.50880355e-21]))","(array([-7.46568265e-21]), array([-1.23064528e-20]))","(array([2.40555587e-21]), array([1.17939547e-20]))","(array([-1.31176997e-21]), array([-1.71903993e-21]))","(array([0.00452872]), array([-0.00784397]))","(array([0.01399324]), array([-0.02423701]))","(array([0.02419638]), array([-0.04190936]))","(array([0.03489869]), array([-0.0604463]))","(array([0.04572685]), array([-0.07920122]))","(array([0.05625997]), array([-0.09744512]))"
(0.11254704686969712+0j),[6.19913073e-15],[1.],[0.62727669],[1.],"(array([0.13219554]), array([2.08321269e-15]))","(array([8.82012475e-20]), array([1.80494886e-20]))","(array([3.18223635e-21]), array([2.86955293e-20]))","(array([-2.11247623e-21]), array([-7.36517858e-21]))","(array([0.00452872]), array([-0.00784397]))","(array([0.01399324]), array([-0.02423701]))","(array([0.02419638]), array([-0.04190936]))","(array([0.03489869]), array([-0.0604463]))","(array([0.04572685]), array([-0.07920122]))","(array([0.05625997]), array([-0.09744512]))","(array([0.06609777]), array([-0.11448469]))"
(0.14721284522907263+0j),[7.10895976e-16],[1.],[0.70012812],[1.],"(array([0.14980954]), array([-1.72622534e-17]))","(array([-3.72236239e-19]), array([-8.75345429e-20]))","(array([1.32869312e-19]), array([-1.29831891e-19]))","(array([0.00452872]), array([-0.00784397]))","(array([0.01399324]), array([-0.02423701]))","(array([0.02419638]), array([-0.04190936]))","(array([0.03489869]), array([-0.0604463]))","(array([0.04572685]), array([-0.07920122]))","(array([0.05625997]), array([-0.09744512]))","(array([0.06609777]), array([-0.11448469]))","(array([0.07490477]), array([-0.12973887]))"
(0.18388462104324962+0j),[-5.15989746e-15],[1.],[0.76081821],[1.],"(array([0.16486923]), array([-1.09292723e-15]))","(array([2.12619445e-19]), array([-5.02583008e-19]))","(array([0.00452872]), array([-0.00784397]))","(array([0.01399324]), array([-0.02423701]))","(array([0.02419638]), array([-0.04190936]))","(array([0.03489869]), array([-0.06044631]))","(array([0.04572685]), array([-0.07920123]))","(array([0.05625997]), array([-0.09744512]))","(array([0.06609777]), array([-0.1144847]))","(array([0.07490477]), array([-0.12973887]))","(array([0.08243461]), array([-0.14278094]))"
(0.22111841236110796+0j),[-2.47830074e-15],[1.],[0.80848197],[1.],"(array([0.17707944]), array([5.94378175e-16]))","(array([0.00452872]), array([-0.00784397]))","(array([0.01399325]), array([-0.02423701]))","(array([0.02419638]), array([-0.04190937]))","(array([0.0348987]), array([-0.06044631]))","(array([0.04572685]), array([-0.07920124]))","(array([0.05625997]), array([-0.09744513]))","(array([0.06609778]), array([-0.11448471]))","(array([0.07490478]), array([-0.12973888]))","(array([0.08243462]), array([-0.14278095]))","(array([0.08853972]), array([-0.15335529]))"
