Es,Sx,Sxx,Sy,Syy,P-10,P-9,P-8,P-7,P-6,P-5,P-4,P-3,P-2,P-1,P0
(0.0013187651836386934+0j),[-5.60354798e-16],[1.],[0.07258117],[1.],[0.00409339],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.00818677]
(0.005009977052147079+0j),[1.77990988e-15],[1.],[0.14119478],[1.],[0.01205598],[-6.39048739e-30],[-3.18986525e-44],[-1.50970704e-31],[4.48101853e-38],[8.86615133e-39],[-6.44555763e-31],[1.8020111e-31],[2.48665025e-23],[0.00818677],[0.02411196]
(0.010701301718267536+0j),[-5.95618815e-16],[1.],[0.20572031],[1.],[0.01956379],[2.71358627e-23],[-3.50844406e-24],[1.42600888e-22],[4.35163831e-23],[3.55600369e-22],[-9.76951328e-24],[2.37574581e-23],[0.00818677],[0.02411196],[0.03912758]
(0.017937137290465404+0j),[7.98593501e-15],[1.],[0.26525373],[1.],[0.02655886],[-6.31641979e-23],[1.22036606e-22],[3.23261782e-23],[3.29912776e-22],[-4.76687345e-23],[-1.59473708e-23],[0.00818677],[0.02411196],[0.03912758],[0.05311773]
(0.026483849535172188+0j),[3.46356448e-15],[1.],[0.32069908],[1.],[0.03304173],[1.23279055e-21],[-2.4801171e-22],[3.86170824e-22],[1.15004396e-23],[-1.17471048e-22],[0.00818677],[0.02411196],[0.03912758],[0.05311773],[0.06608347]
(0.03607209353196004+0j),[1.46980624e-14],[1.],[0.37209057],[1.],[0.03906518],[-1.06892251e-21],[1.90568851e-21],[2.28881494e-21],[-1.93060888e-21],[0.00818677],[0.02411196],[0.03912758],[0.05311773],[0.06608347],[0.07813035]
(0.0472391876068703+0j),[1.91140455e-14],[1.],[0.42283453],[1.],[0.04482489],[4.28775457e-21],[4.48737523e-21],[-6.72673141e-21],[0.00818677],[0.02411196],[0.03912758],[0.05311773],[0.06608347],[0.07813035],[0.08964977]
(0.05911367649914566+0j),[1.91526542e-14],[1.],[0.46932043],[1.],[0.05030614],[-6.63869762e-21],[-2.91175303e-20],[0.00818677],[0.02411196],[0.03912758],[0.05311773],[0.06608347],[0.07813035],[0.08964977],[0.10061229]
(0.07147263836306743+0j),[2.1815218e-14],[1.],[0.5116698],[1.],[0.05531381],[-1.13184235e-19],[0.00818677],[0.02411196],[0.03912758],[0.05311773],[0.06608347],[0.07813035],[0.08964977],[0.10061229],[0.11062762]
(0.08541458079192828+0j),[2.59529318e-14],[1.],[0.55389111],[1.],[0.0600835],[0.00818677],[0.02411196],[0.03912758],[0.05311773],[0.06608347],[0.07813035],[0.08964978],[0.10061229],[0.11062762],[0.12016699]
(0.09930417316195626+0j),[0.00128316],[1.],[0.59104356],[1.],[0.07261763],[0.02411196],[0.03912758],[0.05311773],[0.06608347],[0.07813036],[0.08964978],[0.10061229],[0.11062763],[0.12016699],[0.12911332]
(0.11265508576824317+0j),[0.00492349],[1.],[0.62276699],[1.],[0.0919417],[0.03912759],[0.05311773],[0.06608348],[0.07813036],[0.08964978],[0.1006123],[0.11062763],[0.120167],[0.12911333],[0.13687445]
